SUBJECT,FLOOR,AISLE,ROOM/DESCRIPTION,KEYWORDS
Surgery,2,73,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Survival,2,8,,"Nature, Homesteading, Field Guide, Doomsday, Hiking, Backpacking,"
Sweden,2,64,,"Country, Countries"
T.V. Series,3,88,,Media
Taber,2,75,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Tahiti,4,55,,"Country, Countries,"
Taiwan,4,56,,"Country, Countries, Asia,"
Tarot,1,E.C. Aisle 10,Register Room,"Occult, Cards, Fortune, Psychic, Reading,"
Technical Catalogues,2,18,,
Technology & Medicine,2,71,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Technology/Engineering,2,17-20,,
Television,3,88,,Media
Television History,3,88,,Media
Tennessee ,2,45,,"State, States, United States, United State of America, South,"
Terminal Illness,4,9,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Terrorism,2,22,,"Military, 9/11,"
Terrorism (P.B.),3,B,,"Paperback, Paper Back"
Texas ,2,45,,"State, States, United States, United State of America, South,"
Textiles,3,79,,"Fashion, Sewing,"
Thailand,4,56,,"Country, Countries,"
Theater,3,75,,
Theater (P.B.),3,M,,"Paperback, Paper Back"
Theater Production,3,93,,
Therapeutics,2,72,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Thesauri,2,3,,"Reference, Dictionaries, Spelling, Words, Writing, Definitions, English, Language,"
Thesauri (P.B.),3,L,,"Paperback, Paper Back"
Thyroid,2,72,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Tibet,4,56,,"Country, Countries"
Time Life Series,2,Center,Center of Floor,
Timor,4,56,,"Country, Countries"
Tobacco,2,69,,"Drugs, Alcohol, Smoke, Smoking, Cigarettes, Cigars,"
Tongues,4,66,,"Religion,"
Toxicology,2,74,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Traditional Medicine (P.B.),3,C,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare, Paperback, Paper Back"
Trains,3,50,,"Transportation, Engines, Railway, Railroads,"
Transplants,2,72,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Trauma,2,71,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Travel,4,55,,
Travel (P.B.),3,M,,"Paperback, Paper Back"
Travel Writing,4,53,,
Trees,3,87,,Nature
Trivia (P.B.),3,H,,"Paperback, Paper Back"
True Crime,4,Center,"Rear, East Side","Mafia, Mob, Gang,"
Tunisia,4,56,,"Countries, Country,"
Typing,2,2,,
U.S. Constitution,2,54,,"US, us, united States, american, america, states"
U.S. History,2,51-55,,"US, us, united States, american, america, states, American history, "
U.S. History (P.B.),3,E,,"Paperback, Paper Back, US, us, united States, american, america, states, American history, "
U.S. History Reference,2,Center,Front of Floor,"US, us, united States, american, america, states"
U.S. Military History (P.B.),3,B,,"Paperback, Paper Back"
U.S. Pop Culture,2,54,,"US, us, united States, american, america, states, US, us, united States, american, america, states, American history, "
U.S. Society (P.B.),3,E,,"Paperback, Paper Back"
U.S. States,2,45-47,,"US, us, united States, american, america, states, US, us, united States, american, america, states, American history, "
Ukraine,2,64,,"countries, region, Europe, country"
Ulcers,2,75,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
"Universities, History of",4,4,,Education
Urban Studies,4,13,,"urban design, urban planning,"
Urban Studies (P.B.),3,H,,"Paperback, Paper Back"
USSR,4,29-30,,"Russia,"
Utah ,2,45,,"states, state,"
Vaccines,2,74,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
"Vatican, The",4,70,,"Religion,"
Vegetables,3,87,,"Cooking, Cook, Food, Baking,"
Vermont ,2,45,,"states, state,"
Veterans (P.B.),3,B,,"Paperback, Paper Back"
Veterinary Medicine,2,6,,
VHS,4,68,,
Video Games (Books About),2,13,,
Video Reference,3,94,,
Vietnam,4,56,,"War, Military, "
Vietnam War ,2,26,,"Military, war, army, Asia, "
Vietnam War (P.B.),3,B,,"Paperback, Paper Back"
Vikings,2,58,,"Nordic, Nords,"
Virginia ,2,45,,"States, US States, U.S., United States, United States of America, U.S.A., US, USA, State, East, East Coast "
"Virology, Plagues & Epidemics",2,74,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Vision,2,72,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Vocabulary ,2,2,,"Reference, Writing, Language, Spelling, Words, Dictionary, Dictionaries, "
Vocal Scores,1,Case R-S,Room 4,"Music,"
Volcanos,2,10,,"Disaster, Disasters"
Wales,2,61,,"Region, United Kingdom, British, Europe, British Isles, "
Washington ,2,North Wall,,"States, US States, U.S., United States, United States of America, U.S.A., US, USA, State, Northwest, "
Washington D.C.,2,North Wall,,"United States, United States of America, USA, US, U.S., U.S.A, States, Capitol, City, Cities, District of Columbia, White House,"
"Wealthy, The",2,Center,Front of Floor,"Rich, Rothschild, Astor, "
Weapons (P.B.),3,B,,"Paperback, Paper Back, Guns, Firearms, Swords, Pistol, Rifle, Shotgun, "
Weather,2,33,,
Weight Loss,4,40,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Welding,2,18,,"Metalworking, Metallurgy, Metal, Craft, Crafts, Blacksmithing, Blacksmith, "
West Virginia ,2,45,,"States, United States, US States, US, U.S. U.S.A., America"
"West, The (P.B.)",3,G,,"Paperback, Paper Back"
Western Americana,2,50,,
Western Philosophy (P.B.),3,G,,"Paperback, Paper Back"
Whales,2,10,,"Animals, Ocean, Oceanography, Orca, Killer, Deep Sea,"
Widowhood,4,10,,
Witchcraft,2,Center,East Side,"Religion,"
Women's Health,4,24,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Women's Studies,4,22,,
Women's Studies (P.B.),3,J,,"Paperback, Paper Back"
Woodworking (Building),2,28,,"Home improvement, woodworking, repair, interior decorating, "
Woodworking (Crafts),2,41,,"Crafts, DIY,"
World Affairs (P.B.),3,F,,"Paperback, Paper Back"
World Facts,2,2,,
World Fair,2,40,,"Expo, Expos, Exposition, Circus,"
World History,2,55-59,,
World History (P.B.),3,F,,"Paperback, Paper Back"
World War 1,2,27,,World War One
World War 2,1,38-40,Room 4,World War Two
World War 2 Biographies (P.B.),3,B,,"Paperback, Paper Back"
World War One (P.B.),3,B,,"Paperback, Paper Back"
World War Three (P.B.),3,B,,"World War 3, Paperback, Paper Back"
"Writing - Business, Medical & Science",2,2,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare, Writing, Reference"
Writing - Journalism & Magazines,2,2,,"Writing, Reference"
Writing - Research & Academia,2,2,,"Writing, Reference"
Writing - Scripts & Screenplays,2,2,,"Writing, Reference"
Writing - Shorthand & Secretarial,2,2,,"Writing, Reference"
Writing Handbooks/Guides,2,2,,"Writing, Reference"
Wyoming ,2,North Wall,,"States, State, United States of America, US, USA,"
X-Ray,2,73,,"Medical, Medicine, Health, Doctor, Healing, Drugs, Pharmaceutical, Nursing, Healthcare"
Y.B. Yeats (P.B.),3,N,,"Paperback, Paper Back"
Yearbooks,4,Center,"Rear, West Side",
Yoga,2,12,,"Eastern Philosophy, Thought, Religion, Spirituality"
Youth Ministry,4,66,,"Religion,"
Zen,2,12,,"Eastern Religion, Spirituality, Philosophy, "
Zoology,2,12,,Animals
